week_end,pred_tx,pred_low,pred_high,fx_assumed,avg_ticket_mxn_used,pred_value_mn_mxn,pred_value_mn_mxn_low,pred_value_mn_mxn_high
2025-08-10,102907005.21253152,97714952.41950393,108733901.89079039,18.7708,59546.44663705146,6127746.494466784,5818578.199890013,6474717.486578338
2025-08-17,112876668.59707323,107145311.96955611,118818947.93965974,18.7708,59546.44663705146,6721404.523183763,6380122.601605403,7075246.1429595435
2025-08-24,106244283.3798417,100786177.62492178,112407051.09565777,18.7708,59546.44663705146,6326469.550769516,6001458.747694795,6693440.4696959015
2025-08-31,110010823.54365195,104177299.2291564,115604469.66438405,18.7708,59546.44663705146,6550753.633640155,6203387.9893411035,6883835.383874879
2025-09-07,113857340.09919953,108312279.38728794,119761499.54523177,18.7708,59546.44663705146,6779800.026453605,6449611.36467255,7131371.741843406
2025-09-14,107445807.05150402,101726059.02803102,113287225.84166162,18.7708,59546.44663705146,6398016.01596731,6057425.345510195,6745851.7482401
2025-09-21,111009867.22402565,104924954.92184451,116734737.15654597,18.7708,59546.44663705146,6610243.134841612,6247908.229148643,6951138.796782492
2025-09-28,108793236.7092914,102924225.0069785,114493711.19000494,18.7708,59546.44663705146,6478250.664181928,6128771.872037922,6817693.66365361
